                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 1.7942,                 2.9451,                 2.1269,                 2.1866,                0.45157,                0.45879,                0.42069,                0.20973,                0.23023,                0.22316,                0.17803,                0.06165,                 1.8451,                 3.3018,                 2.5717,                 2.0513,               0.005842,               0.005842,               0.005842
                     86,                 1.7619,                 2.9235,                  2.073,                 2.1199,                0.39186,                0.52635,                0.45913,                0.24265,                0.30112,                0.26912,                0.29297,                0.12701,                  1.707,                 2.5577,                 2.3186,                  1.933,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.7396,                 2.9856,                 2.0665,                 2.1539,                0.36082,                0.58366,                0.48527,                0.25782,                0.31413,                0.26269,                0.29292,                0.12105,                 1.6994,                 2.4182,                 2.2574,                 1.9148,               0.005743,               0.005743,               0.005743
                     88,                 1.7775,                 3.0683,                 2.0457,                 2.1692,                0.38536,                0.55844,                0.50281,                0.27501,                0.36829,                0.28563,                0.29871,                0.12313,                 1.6762,                 2.3997,                 2.2659,                  1.887,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.7103,                 2.8357,                 2.0144,                 2.1065,                0.46684,                0.57053,                0.56148,                0.30273,                0.28433,                0.43772,                0.34621,                0.15034,                 1.6273,                  2.449,                 2.1565,                 1.8503,               0.005644,               0.005644,               0.005644
                     90,                 1.6952,                 2.8391,                 2.0206,                 2.1353,                0.44165,                0.58134,                0.52235,                0.28654,                0.36834,                0.32277,                0.33232,                0.14964,                 1.6213,                  2.373,                 2.1211,                  1.852,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.8005,                 2.8864,                 2.0012,                 2.1237,                0.46659,                0.54791,                0.52548,                0.30067,                0.29502,                0.36525,                0.32329,                0.13957,                 1.6247,                 2.4641,                 1.9567,                 1.8542,               0.005545,               0.005545,               0.005545
                     92,                 1.7234,                 3.0055,                 1.9864,                 2.1051,                0.50114,                0.51688,                0.47138,                0.24332,                0.26069,                0.30378,                0.21865,                0.07355,                 1.7643,                 2.9802,                 2.1539,                 2.0063,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.6896,                 2.7508,                 1.9403,                 2.1441,                0.50424,                0.46398,                0.41022,                0.21539,                 0.2963,                0.30374,                0.23786,                0.07982,                 1.8086,                 2.9303,                 2.2349,                 2.0848,               0.005446,               0.005446,               0.005446
                     94,                 1.6895,                 2.8106,                 1.9147,                 2.0955,                0.44785,                0.40296,                0.35398,                 0.1851,                0.27087,                0.26801,                0.20771,                0.07144,                 1.8917,                 3.0305,                 2.3978,                 2.1824,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.6579,                  2.844,                 1.9426,                 2.1302,                0.49767,                0.59708,                0.57283,                0.33614,                0.32635,                0.44929,                0.35245,                0.16205,                 1.5488,                 2.5291,                      2,                 1.7925,               0.005347,               0.005347,               0.005347
                     96,                 1.6723,                 2.9939,                  1.911,                 2.0558,                0.47267,                0.50942,                0.46081,                0.26153,                0.18054,                0.24084,                0.19292,                0.06105,                 1.6911,                 3.1194,                 2.3239,                 1.8985,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.6584,                 2.7828,                 1.9095,                 2.0832,                0.54843,                0.57332,                0.58562,                 0.3497,                0.35679,                0.37639,                0.35023,                 0.1628,                 1.5813,                 2.4502,                 1.9719,                 1.8071,               0.005248,               0.005248,               0.005248
                     98,                 1.7091,                 2.7016,                 1.9251,                 2.0604,                 0.5478,                0.58645,                0.56811,                0.32772,                0.32867,                0.38639,                0.32014,                0.15511,                 1.6059,                 2.5077,                 1.9596,                 1.8256,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.6511,                 2.7332,                 1.8497,                 2.0772,                0.49882,                0.54345,                0.53435,                  0.307,                0.34072,                0.34745,                0.30701,                0.14476,                 1.6394,                 2.5154,                 2.0616,                 1.8559,               0.005149,               0.005149,               0.005149
                    100,                 1.6423,                  2.762,                  1.863,                 2.0398,                0.54217,                0.62126,                0.60008,                0.36141,                 0.3226,                0.40694,                 0.3271,                0.16533,                 1.5645,                 2.4233,                 1.8592,                 1.7905,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.6348,                 2.7287,                  1.884,                 2.0353,                0.59461,                0.58967,                0.61406,                0.35664,                0.37461,                0.38247,                0.35204,                0.16054,                 1.5757,                 2.3969,                 1.8906,                 1.8016,                0.00505,                0.00505,                0.00505
